name,lat,lng,covid
"Surrounding Area of H.No. 420, B-4, Pocket-06, Punjabi Colony, Narela,
Delhi",28.840387,77.108813,1826910047
"Surrounding Area of H.No. 420, B-4, Pocket-06, Punjabi Colony, Narela,
Delhi",28.840387,77.108813,1826910047
"Gali containing H.No. 1225, 1236,1229, 1228 on one side and H.No. 2071, 2072, 1222, 1220 on other side arising out of Syndicate Bank wali gali,
Alipur, Delhi",28.8233364,77.17242600000002,6195126578
"H.No. B-258, H.No. B-822, H.No. C-98, H.No. H1-54 and H.No. H-16, JJ
Colony Tigri Delhi",28.8089317,77.05316289999999,3008601533
"H.No. 502, HNo. 495, H.No. 532 Bajitpur Thakran, Narela Delhi",28.8022686,76.99310740000001,3014096535
"H.No. E109 – E116, H.No. E88 – E91, Yadav Nagar, Samaipur Badli, Delhi-42",28.7499865,77.1406069,4231311366
"House No. B-36, GALI NO. 20, KAMAL VIHAR, BURARI, DELHI-84 (BURARI-II)",28.7498831,77.2019155,5953082844
"H.No.831 to H.No-847 & H.No-789 to H.No.799, Gali No-6,B-block, Baba
Colony, Burari, Delhi-110084",28.7498537,77.2044351,6197358503
"GALI NO.-11, NEAR SANT GYAN PUBLIC SCHOOL, C- BLOCK, MUKANDPUR,
DELHI-110042. (BHALASWA DAIRY-I)",28.7471172,77.1628959,4231892607
"Data Ram Apartment, Sector 18, Rohini, Delhi",28.7400275,77.1346526,922110367
"House bearing CN No. 378 to CN No. 384, Village Ladpur Delhi",28.7376773,76.99587319999999,921811710
"H.No.716 to 785, H. No. 786 to 860, H. No. 861 to 950 K-Block, Jhangir Puri,
Delhi",28.7336806,77.1688719,923123152
"H.No.716 to 785, H. No. 786 to 860, H. No. 861 to 950 K-Block, Jhangir Puri,
Delhi",28.7336806,77.1688719,923123152
"House No. C-19, GALI NO- 2, HARDEV NAGAR, JHARODA, BURARI, DELHI
(Wazirabad-I)",28.7311614,77.20488449999999,6640322266
"House No. C-271, Gali No-9, Mukund Vihar, including left & right house and",28.73058249999999,77.2670954,4231807721
"H.No. 12 to 122,Gali No-A1 , H.No-5 to 56, Bhagat Singh Colony, Karawal
Nagar, Delhi",28.7289807,77.2624776,4231902461
"H.No.-99 to H.No-101 & H.No-91 to H.No-93, Gali No.9, c Block, Wazirabad
Village, Delhi",28.7279068,77.2245551,4233489466
"House Nos. 145 to 151 C1 Block, Gali no-5 . 3rd Pusta Sonia Vihar Delhi CZ
order",28.7227603,77.2458862,4225160810
"H.NO-C-11; H.NO-C40; H.NO.C.71; G ALI NO 3, SATYA VIHAR, BURARI, DELHI
(BURARI-I)",28.7225934,77.2256286,4224974797
"H.No.120, Gali No.-3, Wazirabad Village, Delhi",28.7225934,77.2256286,4224974797
"House No. A-53, Ranaji Enclave, Gali No. 12, New Delhi",28.7225661,77.22682189999999,4224974380
"House No. F-3 by 25, Dayalpur Extension, Delhi including left & right house
and house in front of them",28.7207834,77.2672862,4221006424
"House No. E-1/701, Gali No. 20, 4 1/2 Pusta, Sonia Vihar, Delhi including left
& right house and houses in front of them",28.7203121,77.2480625,4225159672
"CC Block, Shalimar Bagh Opposite Police Colony to Shalimar Village, Gate No. 1,infront of NDPL Bus Stand",28.7192629,77.1567571,920979306
"CC Block, Shalimar Bagh Opposite Police Colony to Shalimar Village, Gate No. 1,infront of NDPL Bus Stand",28.7192629,77.1567571,920979306
"VPO Rithala, Delhi (From House No. 112 to 247)",28.7191961,77.1006616,921811688
"F-Block, Phase-I, Budh Vihar, Delhi (From House No. 15 to 32)",28.7178026,77.08720420000002,921810573
"H.No.-B-224 to 290 -K and B-284 to B-302, B-Block, Gali No-18, Maha Laxmi
Enclave, Delhi",28.7173292,77.2746373,4231719024
"H.No. A-117, A-118 & A-132 to A-134, A-Block, Prashant Vihar, Delhi",28.71461639999999,77.1364056,922124474
"House No. B-2 by 25, Joharipur, Delhi including left & right house and house
in front of them CZ order",28.7144321,77.2838057,1684365663
"House No. E-86, Gali No. -13, Ambedkar Vihar, Johripur, Delhi including left
& right house and houses in front of them",28.7144321,77.2838057,1684365663
"C-Block, Budh Vihar, Delhi (From House No. 15 to 52)",28.7141447,77.0871004,921810573
"M-Block, Budh Vihar, Delhi (From House No. 15 to 42)",28.7141447,77.0871004,921810573
"D-Block, Budh Vihar, Delhi (From House No. 25 to 45)",28.7141447,77.0871004,921810573
"R-Block, Budh Vihar, Delhi (From House No. 12 to 140)",28.7141447,77.0871004,921810573
